page,status,num_boxes,num_selected_english,selected_ratio
pg_1,ok,9,9,1.0
pg_10,ok,15,15,1.0
pg_11,ok,3,3,1.0
pg_12,ok,18,18,1.0
pg_13,ok,8,8,1.0
pg_14,ok,15,15,1.0
pg_15,ok,6,6,1.0
pg_16,ok,10,10,1.0
pg_17,ok,8,8,1.0
pg_18,ok,11,11,1.0
pg_19,ok,9,9,1.0
pg_2,ok,8,8,1.0
pg_20,ok,15,15,1.0
pg_21,ok,12,12,1.0
pg_22,ok,8,8,1.0
pg_23,ok,11,11,1.0
pg_24,ok,10,10,1.0
pg_25,ok,6,6,1.0
pg_26,ok,19,19,1.0
pg_27,ok,13,13,1.0
pg_28,ok,9,9,1.0
pg_29,ok,10,10,1.0
pg_3,ok,15,15,1.0
pg_30,ok,6,6,1.0
pg_31,ok,9,9,1.0
pg_32,ok,11,11,1.0
pg_33,ok,2,2,1.0
pg_34,ok,10,10,1.0
pg_35,ok,8,8,1.0
pg_36,ok,9,9,1.0
pg_37,ok,19,19,1.0
pg_38,ok,6,6,1.0
pg_39,ok,5,5,1.0
pg_4,ok,17,17,1.0
pg_40,ok,4,4,1.0
pg_41,ok,8,8,1.0
pg_42,ok,14,14,1.0
pg_43,ok,12,12,1.0
pg_44,ok,6,6,1.0
pg_45,ok,10,10,1.0
pg_46,ok,6,6,1.0
pg_47,ok,3,3,1.0
pg_48,ok,3,3,1.0
pg_49,ok,4,4,1.0
pg_5,ok,14,14,1.0
pg_50,ok,4,4,1.0
pg_6,ok,10,10,1.0
pg_7,ok,20,20,1.0
pg_8,ok,16,16,1.0
pg_9,ok,13,13,1.0
